bits,pic16_SSIM,pic16_PSNR,pic16_CIEDE,pic16size,pic28_SSIM,pic28_PSNR,pic28_CIEDE,pic28size,pic6_SSIM,pic6_PSNR,pic6_CIEDE,pic6size,pic23_SSIM,pic23_PSNR,pic23_CIEDE,pic23size,pic45_SSIM,pic45_PSNR,pic45_CIEDE,pic45size
0,1.0,Inf,0.0,737293.0,1.0,Inf,0.0,613399.0,1.0,Inf,0.0,561856.0,1.0,Inf,0.0,871434.0,1.0,Inf,0.0,469493.0
10240,1.0,Inf,0.0,872246.0,1.0,Inf,0.0,645261.0,1.0,Inf,0.0,551748.0,1.0,Inf,0.0,903510.0,1.0,Inf,0.0,532018.0
20480,1.0,Inf,0.0,874562.0,1.0,Inf,0.0,646386.0,1.0,Inf,0.0,553584.0,1.0,Inf,0.0,903896.0,1.0,Inf,0.0,535350.0
30720,1.0,Inf,0.0,876672.0,1.0,Inf,0.0,647457.0,1.0,Inf,0.0,555115.0,1.0,Inf,0.0,904190.0,1.0,Inf,0.0,539331.0
40960,1.0,Inf,0.0,878283.0,1.0,Inf,0.0,648602.0,1.0,Inf,0.0,556973.0,1.0,Inf,0.0,904490.0,1.0,Inf,0.0,541635.0
51200,1.0,Inf,0.0,879283.0,1.0,Inf,0.0,649942.0,1.0,Inf,0.0,559481.0,1.0,Inf,0.0,904705.0,1.0,Inf,0.0,543200.0
61440,1.0,Inf,0.0,880736.0,1.0,Inf,0.0,651203.0,1.0,Inf,0.0,561162.0,1.0,Inf,0.0,904993.0,1.0,Inf,0.0,544579.0
71680,1.0,Inf,0.0,881662.0,1.0,Inf,0.0,652300.0,1.0,Inf,0.0,563897.0,1.0,Inf,0.0,905288.0,1.0,Inf,0.0,545464.0
81920,1.0,Inf,0.0,882748.0,1.0,Inf,0.0,653460.0,1.0,Inf,0.0,565717.0,1.0,Inf,0.0,905552.0,1.0,Inf,0.0,546151.0
92160,1.0,Inf,0.0,883537.0,1.0,Inf,0.0,654488.0,1.0,Inf,0.0,567504.0,1.0,Inf,0.0,905996.0,1.0,Inf,0.0,546925.0
102400,1.0,Inf,0.0,884313.0,1.0,Inf,0.0,655340.0,1.0,Inf,0.0,569333.0,1.0,Inf,0.0,906120.0,1.0,Inf,0.0,547855.0
112640,1.0,Inf,0.0,885131.0,1.0,Inf,0.0,656016.0,1.0,Inf,0.0,571256.0,1.0,Inf,0.0,906591.0,1.0,Inf,0.0,548805.0
122880,1.0,Inf,0.0,886261.0,1.0,Inf,0.0,656777.0,1.0,Inf,0.0,573824.0,1.0,Inf,0.0,906976.0,1.0,Inf,0.0,549860.0
133120,1.0,Inf,0.0,887242.0,1.0,Inf,0.0,657502.0,1.0,Inf,0.0,576253.0,1.0,Inf,0.0,907312.0,1.0,Inf,0.0,551072.0
143360,1.0,Inf,0.0,887904.0,1.0,Inf,0.0,658524.0,1.0,Inf,0.0,578271.0,1.0,Inf,0.0,907729.0,1.0,Inf,0.0,552422.0
153600,1.0,Inf,0.0,888670.0,1.0,Inf,0.0,659215.0,1.0,Inf,0.0,581240.0,1.0,Inf,0.0,908140.0,1.0,Inf,0.0,555391.0
163840,1.0,Inf,0.0,889674.0,1.0,Inf,0.0,659892.0,1.0,Inf,0.0,584471.0,1.0,Inf,0.0,908548.0,1.0,Inf,0.0,558159.0
174080,1.0,Inf,0.0,890856.0,1.0,Inf,0.0,660468.0,1.0,Inf,0.0,588240.0,1.0,Inf,0.0,908693.0,1.0,Inf,0.0,561142.0
184320,1.0,Inf,0.0,891509.0,1.0,Inf,0.0,661118.0,1.0,Inf,0.0,591104.0,1.0,Inf,0.0,908947.0,1.0,Inf,0.0,563568.0
194560,1.0,Inf,0.0,891743.0,1.0,Inf,0.0,661657.0,1.0,Inf,0.0,593355.0,1.0,Inf,0.0,909185.0,1.0,Inf,0.0,566295.0
204800,1.0,Inf,0.0,892184.0,1.0,Inf,0.0,662416.0,1.0,Inf,0.0,595259.0,1.0,Inf,0.0,909468.0,1.0,Inf,0.0,568922.0
