bits,pic16blurred_noise_calculation_SSIM,pic16blurred_noise_calculation_PSNR,pic16blurred_noise_calculation_CIEDE,pic16blurred_noise_calculationsize,pic28blurred_noise_calculation_SSIM,pic28blurred_noise_calculation_PSNR,pic28blurred_noise_calculation_CIEDE,pic28blurred_noise_calculationsize,pic6blurred_noise_calculation_SSIM,pic6blurred_noise_calculation_PSNR,pic6blurred_noise_calculation_CIEDE,pic6blurred_noise_calculationsize,pic23blurred_noise_calculation_SSIM,pic23blurred_noise_calculation_PSNR,pic23blurred_noise_calculation_CIEDE,pic23blurred_noise_calculationsize,pic45blurred_noise_calculation_SSIM,pic45blurred_noise_calculation_PSNR,pic45blurred_noise_calculation_CIEDE,pic45blurred_noise_calculationsize,pic16colour_sensitivity_SSIM,pic16colour_sensitivity_PSNR,pic16colour_sensitivity_CIEDE,pic16colour_sensitivitysize,pic28colour_sensitivity_SSIM,pic28colour_sensitivity_PSNR,pic28colour_sensitivity_CIEDE,pic28colour_sensitivitysize,pic6colour_sensitivity_SSIM,pic6colour_sensitivity_PSNR,pic6colour_sensitivity_CIEDE,pic6colour_sensitivitysize,pic23colour_sensitivity_SSIM,pic23colour_sensitivity_PSNR,pic23colour_sensitivity_CIEDE,pic23colour_sensitivitysize,pic45colour_sensitivity_SSIM,pic45colour_sensitivity_PSNR,pic45colour_sensitivity_CIEDE,pic45colour_sensitivitysize,pic16canny_edge_detection_SSIM,pic16canny_edge_detection_PSNR,pic16canny_edge_detection_CIEDE,pic16canny_edge_detectionsize,pic28canny_edge_detection_SSIM,pic28canny_edge_detection_PSNR,pic28canny_edge_detection_CIEDE,pic28canny_edge_detectionsize,pic6canny_edge_detection_SSIM,pic6canny_edge_detection_PSNR,pic6canny_edge_detection_CIEDE,pic6canny_edge_detectionsize,pic23canny_edge_detection_SSIM,pic23canny_edge_detection_PSNR,pic23canny_edge_detection_CIEDE,pic23canny_edge_detectionsize,pic45canny_edge_detection_SSIM,pic45canny_edge_detection_PSNR,pic45canny_edge_detection_CIEDE,pic45canny_edge_detectionsize,pic16fourier_hard_cutoff_filtering_SSIM,pic16fourier_hard_cutoff_filtering_PSNR,pic16fourier_hard_cutoff_filtering_CIEDE,pic16fourier_hard_cutoff_filteringsize,pic28fourier_hard_cutoff_filtering_SSIM,pic28fourier_hard_cutoff_filtering_PSNR,pic28fourier_hard_cutoff_filtering_CIEDE,pic28fourier_hard_cutoff_filteringsize,pic6fourier_hard_cutoff_filtering_SSIM,pic6fourier_hard_cutoff_filtering_PSNR,pic6fourier_hard_cutoff_filtering_CIEDE,pic6fourier_hard_cutoff_filteringsize,pic23fourier_hard_cutoff_filtering_SSIM,pic23fourier_hard_cutoff_filtering_PSNR,pic23fourier_hard_cutoff_filtering_CIEDE,pic23fourier_hard_cutoff_filteringsize,pic45fourier_hard_cutoff_filtering_SSIM,pic45fourier_hard_cutoff_filtering_PSNR,pic45fourier_hard_cutoff_filtering_CIEDE,pic45fourier_hard_cutoff_filteringsize,pic16fourier_soft_cutoff_filtering_SSIM,pic16fourier_soft_cutoff_filtering_PSNR,pic16fourier_soft_cutoff_filtering_CIEDE,pic16fourier_soft_cutoff_filteringsize,pic28fourier_soft_cutoff_filtering_SSIM,pic28fourier_soft_cutoff_filtering_PSNR,pic28fourier_soft_cutoff_filtering_CIEDE,pic28fourier_soft_cutoff_filteringsize,pic6fourier_soft_cutoff_filtering_SSIM,pic6fourier_soft_cutoff_filtering_PSNR,pic6fourier_soft_cutoff_filtering_CIEDE,pic6fourier_soft_cutoff_filteringsize,pic23fourier_soft_cutoff_filtering_SSIM,pic23fourier_soft_cutoff_filtering_PSNR,pic23fourier_soft_cutoff_filtering_CIEDE,pic23fourier_soft_cutoff_filteringsize,pic45fourier_soft_cutoff_filtering_SSIM,pic45fourier_soft_cutoff_filtering_PSNR,pic45fourier_soft_cutoff_filtering_CIEDE,pic45fourier_soft_cutoff_filteringsize
0,1.0,Inf,0.0,737293.0,1.0,Inf,0.0,613399.0,1.0,Inf,0.0,561856.0,1.0,Inf,0.0,871434.0,1.0,Inf,0.0,469493.0,1.0,Inf,0.0,737293.0,1.0,Inf,0.0,613399.0,1.0,Inf,0.0,561856.0,1.0,Inf,0.0,871434.0,1.0,Inf,0.0,469493.0,1.0,Inf,0.0,737293.0,1.0,Inf,0.0,613399.0,1.0,Inf,0.0,561856.0,1.0,Inf,0.0,871434.0,1.0,Inf,0.0,469493.0,1.0,Inf,0.0,737293.0,1.0,Inf,0.0,613399.0,1.0,Inf,0.0,561856.0,1.0,Inf,0.0,871434.0,1.0,Inf,0.0,469493.0,1.0,Inf,0.0,737293.0,1.0,Inf,0.0,613399.0,1.0,Inf,0.0,561856.0,1.0,Inf,0.0,871434.0,1.0,Inf,0.0,469493.0
10240,0.9999023058832393,66.08101654052734,3130.935562899782,871716.0,0.9998831086896202,67.45416259765625,2947.323226427815,645221.0,0.9999157887510164,67.83714294433594,3053.4293203580564,551436.0,0.999944623483375,67.26882934570312,2092.441220099412,903520.0,0.9998760328539944,67.58586883544922,1744.1655185331174,531166.0,0.9999358033629508,67.58492279052734,2648.0733654167984,871661.0,0.9998947716177765,67.93265533447266,2803.2793371440625,645200.0,0.999910939961144,67.67240905761719,3061.8205532717966,551579.0,0.9999487474337309,67.80584716796875,1897.9176874074135,903550.0,0.9998761224974775,67.64262390136719,1719.4655002501613,531071.0,0.9991080209025289,45.18661880493164,8847.431844792885,872114.0,0.9990791657188847,46.67980194091797,6643.425969147273,645962.0,0.9990363244161387,45.03959655761719,8884.161245336913,552101.0,0.9991601899289372,43.70878601074219,10875.327199015337,904125.0,0.9992401082808541,46.64668273925781,6099.881564145638,531450.0,0.9999379461951057,67.99554443359375,2502.7064301152127,871585.0,0.9998816031586131,67.28874206542969,2963.275627849907,645190.0,0.9999041652376711,67.32691955566406,3122.6295080084965,551577.0,0.9999477884222479,67.62486267089844,1882.088881159652,903525.0,0.999882445985832,67.83514404296875,1723.8106773745171,531173.0,0.9999286939990659,67.46012115478516,2772.474142810791,871797.0,0.9998650757416054,66.81143188476562,3316.9630921175094,645284.0,0.9999095101827069,67.37976837158203,3101.348220530168,551438.0,0.9999463618615873,67.41229248046875,1935.4737089797775,903513.0,0.9998658549413824,67.38758850097656,1659.1303768908936,531185.0
20480,0.9998546757530085,64.3092041015625,5180.164391178334,873170.0,0.9997547303559577,64.21680450439453,6023.711367743566,646325.0,0.9998360818873602,64.61051177978516,5967.577318387212,553007.0,0.9998934452245947,64.19501495361328,3868.5677433160304,903891.0,0.9996715301661214,63.47686767578125,3598.3177919746827,533883.0,0.9998397152235825,63.6799201965332,5495.860841482539,873170.0,0.9997794362800909,64.68569946289062,5631.4638017409,646236.0,0.9998276145661236,64.42631530761719,6033.005543420088,553003.0,0.9998946740474842,64.7229232788086,3956.2382087759424,903890.0,0.9997388881644141,64.14351654052734,3540.7561096568397,533685.0,0.9983924961240342,42.366249084472656,17348.789715776882,874093.0,0.9981654230308161,42.7857666015625,13333.45555596697,647507.0,0.9980052583567569,41.57457733154297,18822.31455833267,554080.0,0.9981195653673653,40.135494232177734,23956.634799355696,905172.0,0.9985409713102226,44.60533905029297,11594.589818454517,535188.0,0.999842604835035,63.99259567260742,5633.954888282888,873233.0,0.9997737603780489,64.5218505859375,5927.363990026028,646254.0,0.9998438732678905,64.82701110839844,5916.476428980128,552971.0,0.9998947844804724,64.65325927734375,3775.270539557092,903854.0,0.9996929359343408,63.4288215637207,3814.5921621577886,533579.0,0.9998370851624885,63.78840637207031,5708.998107043748,873271.0,0.9997740115162379,64.53864288330078,5545.750028846303,646223.0,0.9998327013083729,64.47037506103516,6397.111317776056,553082.0,0.9998938678314531,64.56536865234375,3868.28489026895,903913.0,0.9997450466773956,64.56031036376953,3456.699210851064,533650.0
30720,0.9997979643887002,62.86652374267578,7861.116409714654,874801.0,0.9996431012228503,62.6215934753418,8668.132450331275,647187.0,0.9997630721490319,61.991859436035156,9861.28680281874,554436.0,0.9998026238771011,62.05400466918945,6498.224664551499,904417.0,0.9996394469189921,63.11628723144531,4931.617277431218,536204.0,0.9998006744401524,63.049049377441406,7492.191241239612,874799.0,0.9996517870823095,62.67269515991211,8540.98316087808,647173.0,0.9997793383743623,62.43540954589844,9491.41432580497,554381.0,0.9998323465528184,62.87580108642578,5681.39322054888,904271.0,0.9994937545777104,61.647396087646484,5925.319534653302,536644.0,0.9975439728610666,40.6427001953125,25419.74799457215,876079.0,0.9971915041830602,41.16222381591797,21294.093442894427,649174.0,0.9961606132826971,38.59078598022461,37723.2317432398,556628.0,0.9972068801389001,38.513790130615234,36382.95309924749,906107.0,0.9976690837992626,42.24919891357422,18145.374419162254,537965.0,0.9997643478278208,62.18107223510742,8748.825990492009,875133.0,0.9995029630267329,60.889434814453125,10030.362279672114,647357.0,0.99980869691998,63.10785675048828,8759.853264796588,554182.0,0.9998441794135586,63.09232711791992,5528.534460732773,904275.0,0.9995429816913581,62.054161071777344,5414.422645681125,536585.0,0.9997845280422095,62.5839958190918,7805.755925959713,874834.0,0.9996528604726219,62.63896560668945,8619.07703020883,647211.0,0.9997642332806931,62.00578308105469,9766.798659059486,554478.0,0.9998464490828081,63.080833435058594,5545.8165197817,904208.0,0.9996287853586553,62.96747589111328,4924.90660602895,536253.0
40960,0.9997210744823187,61.458465576171875,10477.21237612592,876491.0,0.9994464110217873,60.37388610839844,13375.82957658955,648483.0,0.9997006097779276,60.60215377807617,15370.389721931766,555971.0,0.9997950810054033,61.85911178588867,7239.623376939115,904684.0,0.9993869428984526,60.73249053955078,7877.240119938475,539715.0,0.9997295264738858,61.592369079589844,10367.393979685983,876508.0,0.9995483648011279,61.5900993347168,11140.037553953443,648169.0,0.9997525841622562,61.580657958984375,12331.938469622863,555600.0,0.9997717769047779,61.692039489746094,7258.974977392361,904763.0,0.9994948442594118,61.5952262878418,6913.571779185532,539098.0,0.9968094763128229,39.47756576538086,34004.06883849566,878148.0,0.9964820731411208,39.612735748291016,27292.245336294916,650427.0,0.9948381989627464,36.95945739746094,51815.51335940826,558583.0,0.9962804668235443,37.25642395019531,47305.98536944234,906965.0,0.9969124712483792,41.09598159790039,24569.860291451252,541162.0,0.9997168313135003,61.435546875,10584.92252278787,876497.0,0.9995679491765869,61.73749542236328,11334.662596388102,648064.0,0.9997185706683074,60.97157287597656,13269.855598693408,556005.0,0.9997652001283107,61.026756286621094,7553.876673986636,904727.0,0.9994000342298693,60.931095123291016,7216.455384085471,539456.0,0.9997156060690665,60.915740966796875,10804.18673198975,876435.0,0.999543324294999,61.539424896240234,11526.353662676884,648176.0,0.9997713994006647,61.91154098510742,11820.549460989925,555579.0,0.9997537077006972,61.05258560180664,7760.767515030766,904779.0,0.9995305660088326,61.92726516723633,6697.066007546327,539341.0
51200,0.9996585866791852,60.5687255859375,13698.033263190338,878047.0,0.9994853482819488,60.97350311279297,13367.246871623785,649014.0,0.9997024625431358,60.90605926513672,14795.414387013012,556889.0,0.9997414928859094,60.87815856933594,9143.36298035148,905059.0,0.9994320752590129,61.0792350769043,8017.173478944977,541434.0,0.9996760065506584,60.92287063598633,12696.074390656477,877839.0,0.999472119927656,60.84880828857422,13692.694540810064,649133.0,0.9996826523957492,60.584407806396484,15750.053438285478,556946.0,0.9996213212090682,59.190216064453125,10436.7150364276,905236.0,0.9993208004013054,60.287353515625,8469.59401560011,541595.0,0.9954986838106772,37.808876037597656,45945.7507331426,880128.0,0.995159692384634,38.38795471191406,35291.00863651101,652160.0,0.9942044480244581,36.475341796875,61608.197267852425,560587.0,0.9951259973413247,35.993614196777344,60978.97166466029,907895.0,0.9960747727840175,39.90665817260742,31164.16860555099,544323.0,0.999674462888942,60.91615295410156,12562.440116977055,877794.0,0.9993701847282496,60.04195785522461,14901.72547546487,649411.0,0.9996498168219553,60.16481399536133,15886.128401218599,556982.0,0.9997256006784001,60.58848571777344,9256.091058360626,905122.0,0.9993997353067663,60.852928161621094,8404.193057539436,541875.0,0.9995976516437622,59.71245193481445,14358.865170481564,877889.0,0.9992848821183605,59.41188049316406,15730.585705266714,649461.0,0.9997084640071342,60.911136627197266,14932.403295364322,556839.0,0.9997384933307698,60.822975158691406,9049.455254618979,905077.0,0.9994196150123905,60.975833892822266,8135.534657479015,541623.0
61440,0.9995238495432778,59.064231872558594,17178.87793786578,879485.0,0.9993502947660665,59.453041076660156,16694.411426502702,650094.0,0.9996137829205911,59.7645378112793,18940.84722803183,558348.0,0.9996768749356254,59.831687927246094,11616.84705923632,905461.0,0.9992702359349243,59.9382438659668,10265.199811541912,544420.0,0.9995748644245455,59.609291076660156,16521.312864269294,879073.0,0.9993467405207274,59.90525817871094,16770.26068719376,650268.0,0.9995323142694948,58.95652389526367,19851.38683463612,558633.0,0.9996675707455561,59.861202239990234,11405.522607653613,905485.0,0.9992181374636184,59.1988525390625,11838.663477178312,544492.0,0.9942912179772755,36.480262756347656,60493.719555690004,881984.0,0.993980499992255,37.52326202392578,43656.52807353053,653990.0,0.992883721565103,35.430728912353516,76655.38432387036,562832.0,0.9939609012709686,35.09336853027344,75304.43000410765,909017.0,0.9951344314135473,39.181461334228516,38180.7661161089,547382.0,0.9995697022969265,59.52153778076172,15842.595427531585,879108.0,0.999355293397014,59.96855163574219,16444.587213210067,650152.0,0.9996372787379014,60.037818908691406,18164.02699122761,558198.0,0.9996756389511435,59.843406677246094,10945.687085248133,905458.0,0.9992311326917462,59.745487213134766,9856.950551399172,544298.0,0.9996237145054927,60.06839370727539,15779.856108695938,879106.0,0.9992532841764858,59.31108093261719,18120.64640822458,650669.0,0.9996358632953399,59.998985290527344,17960.606342501665,558158.0,0.999694753542148,59.45492172241211,11422.23230888072,905373.0,0.9993074324918206,60.13303756713867,9826.128483842827,544279.0
71680,0.9995607721247207,58.61676788330078,19343.68113593552,880407.0,0.9992735031765464,59.428131103515625,18651.722490907858,651045.0,0.9995697136044297,59.042884826660156,25458.26349864226,559590.0,0.9996068208543549,58.93581008911133,13396.46416914933,905813.0,0.99913136017704,58.76776885986328,13743.492733800862,546893.0,0.9995731805169267,59.49382781982422,17834.574671473827,880524.0,0.9992692950298149,59.43120574951172,19009.935812405805,651089.0,0.9994949117080182,58.62812042236328,23263.029552885426,560250.0,0.999614343580137,59.158512115478516,12821.204523151202,905734.0,0.9991498030218509,59.19817352294922,11661.950995577576,546873.0,0.9934041438660369,35.854190826416016,73324.83919073183,883828.0,0.992887593516454,36.63264846801758,51145.24450199604,655427.0,0.9918562376011065,34.948184967041016,88342.18164805476,564808.0,0.9928265932997538,34.36857986450195,90035.56361848289,909874.0,0.9944626017119672,38.41344451904297,43674.18774658221,549838.0,0.9995590243363685,59.30590057373047,18189.930591775817,880491.0,0.9992338906733821,59.18536376953125,19785.45542692061,651089.0,0.9995734934325592,59.395286560058594,21665.827110792146,559714.0,0.9995602254874069,58.26820755004883,13928.200391964298,905937.0,0.9990379832600269,58.417720794677734,13224.980557548914,546301.0,0.9993602370929451,57.50123596191406,22488.908773587675,881098.0,0.9991044861205614,58.528770446777344,21052.937739727928,651701.0,0.9995757573086206,59.43783187866211,21019.35628719587,559655.0,0.9996540153721863,59.396305084228516,12629.38008579734,905554.0,0.9991558119231567,59.30364990234375,11628.062440179603,546668.0
81920,0.9994497155427801,58.08440399169922,24710.552414173657,881816.0,0.9991383615616375,58.688453674316406,22218.80092570943,652116.0,0.9991684740361575,56.41872024536133,30411.725439751943,562168.0,0.9995775198114654,58.12350845336914,15612.888192151317,905919.0,0.9989249209095713,58.138031005859375,14296.144615714102,548989.0,0.9995006200904979,58.67304229736328,22784.13877673105,881965.0,0.9990141622896827,58.10575866699219,24347.058727924945,652711.0,0.9994925511497428,58.725555419921875,24056.63629277206,560946.0,0.9996047241635222,58.99092102050781,14339.601915272391,905871.0,0.9990744432674558,58.572811126708984,14268.92691792507,547868.0,0.992495952092132,35.21173095703125,78712.53008186255,885078.0,0.9916910308274554,36.12287139892578,63713.90490803604,657283.0,0.9905854410420565,34.06977844238281,100653.4125414578,565930.0,0.99177157889714,33.662803649902344,103526.24499026508,910320.0,0.9931747635149796,37.01178741455078,56141.14460585377,551991.0,0.9994951117015863,58.709083557128906,21242.74733769185,881596.0,0.999197997206574,59.007850646972656,21492.101274268593,651994.0,0.9994687688050474,58.513587951660156,25404.714063583346,561219.0,0.9996154784724784,58.92048263549805,14486.447391928756,905810.0,0.9989755931997474,58.29009246826172,13671.216128957281,548330.0,0.9994454533218727,58.16948318481445,22028.620913227707,881721.0,0.9991542845566299,58.771724700927734,22102.30194672702,652142.0,0.9994958069657275,58.606590270996094,24491.422911683618,560866.0,0.9995146588712902,57.92850875854492,16672.988494358404,906216.0,0.9991067749421918,58.9024772644043,12861.143224748459,547696.0
92160,0.999444991322927,58.08367156982422,24205.084999690203,882403.0,0.9990393361817111,57.991641998291016,25662.699837462853,653297.0,0.9993396734095628,57.5125846862793,32178.93478278084,562908.0,0.9995368009244918,58.04426574707031,17197.956337830918,906320.0,0.9989689429316287,58.11918640136719,14614.373837795863,549003.0,0.9994304872085017,57.96739196777344,23614.518371785,882469.0,0.99908351854979,58.45843505859375,24292.094557099015,653070.0,0.9992638602515076,57.33378982543945,29671.593193629633,563427.0,0.9995505629546877,58.389251708984375,16896.876516220193,906208.0,0.9990017374418253,57.844688415527344,17905.927820357356,548953.0,0.9913031279783391,34.630157470703125,90499.1893363245,886435.0,0.9908176999511928,35.63258361816406,66295.97027102797,658508.0,0.9897962820853403,33.863800048828125,107884.19325194194,568105.0,0.9909077465835604,33.25155258178711,115272.21327212904,911084.0,0.9912256175299268,34.96468734741211,76176.72895634605,554350.0,0.9994743160266628,58.36528015136719,23010.520292827016,882335.0,0.9989563533136856,57.77667999267578,28858.658333239182,653437.0,0.9994009429592856,58.18865966796875,27545.73343846159,562719.0,0.9995555048587212,58.21622848510742,16698.836420503314,906154.0,0.998921918873445,57.86191940307617,15606.729327367699,549294.0,0.9994545423167042,58.1423225402832,24604.767849849744,882640.0,0.9990540447782857,58.32178497314453,25234.29689282997,653230.0,0.9993568380895355,57.837886810302734,27435.313556941437,562565.0,0.999500351894733,57.6669921875,17288.114539579452,906279.0,0.9990342707712391,58.382240295410156,14773.543550927912,548949.0
